词语      十进制  符号化反转二进制  二进制       反转二进制 
resource    1468  ○○●●●●○●●○●       10110111100  00111101101
response    1469  ●○●●●●○●●○●       10110111101  10111101101
result      1470  ○●●●●●○●●○●       10110111110  01111101101
retire      1471  ●●●●●●○●●○●       10110111111  11111101101
retreat     1472  ○○○○○○●●●○●       10111000000  00000011101
return      1473  ●○○○○○●●●○●       10111000001  10000011101
reunion     1474  ○●○○○○●●●○●       10111000010  01000011101
reveal      1475  ●●○○○○●●●○●       10111000011  11000011101
review      1476  ○○●○○○●●●○●       10111000100  00100011101
reward      1477  ●○●○○○●●●○●       10111000101  10100011101
rhythm      1478  ○●●○○○●●●○●       10111000110  01100011101
rib         1479  ●●●○○○●●●○●       10111000111  11100011101
ribbon      1480  ○○○●○○●●●○●       10111001000  00010011101
rice        1481  ●○○●○○●●●○●       10111001001  10010011101
rich        1482  ○●○●○○●●●○●       10111001010  01010011101
ride        1483  ●●○●○○●●●○●       10111001011  11010011101
ridge       1484  ○○●●○○●●●○●       10111001100  00110011101
rifle       1485  ●○●●○○●●●○●       10111001101  10110011101
right       1486  ○●●●○○●●●○●       10111001110  01110011101
rigid       1487  ●●●●○○●●●○●       10111001111  11110011101
ring        1488  ○○○○●○●●●○●       10111010000  00001011101
riot        1489  ●○○○●○●●●○●       10111010001  10001011101
ripple      1490  ○●○○●○●●●○●       10111010010  01001011101
risk        1491  ●●○○●○●●●○●       10111010011  11001011101
ritual      1492  ○○●○●○●●●○●       10111010100  00101011101
rival       1493  ●○●○●○●●●○●       10111010101  10101011101
river       1494  ○●●○●○●●●○●       10111010110  01101011101
road        1495  ●●●○●○●●●○●       10111010111  11101011101
roast       1496  ○○○●●○●●●○●       10111011000  00011011101
robot       1497  ●○○●●○●●●○●       10111011001  10011011101
robust      1498  ○●○●●○●●●○●       10111011010  01011011101
rocket      1499  ●●○●●○●●●○●       10111011011  11011011101
romance     1500  ○○●●●○●●●○●       10111011100  00111011101
roof        1501  ●○●●●○●●●○●       10111011101  10111011101
rookie      1502  ○●●●●○●●●○●       10111011110  01111011101
room        1503  ●●●●●○●●●○●       10111011111  11111011101
rose        1504  ○○○○○●●●●○●       10111100000  00000111101
rotate      1505  ●○○○○●●●●○●       10111100001  10000111101
rough       1506  ○●○○○●●●●○●       10111100010  01000111101
round       1507  ●●○○○●●●●○●       10111100011  11000111101
route       1508  ○○●○○●●●●○●       10111100100  00100111101
royal       1509  ●○●○○●●●●○●       10111100101  10100111101
rubber      1510  ○●●○○●●●●○●       10111100110  01100111101
rude        1511  ●●●○○●●●●○●       10111100111  11100111101
rug         1512  ○○○●○●●●●○●       10111101000  00010111101
rule        1513  ●○○●○●●●●○●       10111101001  10010111101
run         1514  ○●○●○●●●●○●       10111101010  01010111101
runway      1515  ●●○●○●●●●○●       10111101011  11010111101
rural       1516  ○○●●○●●●●○●       10111101100  00110111101
sad         1517  ●○●●○●●●●○●       10111101101  10110111101
saddle      1518  ○●●●○●●●●○●       10111101110  01110111101
sadness     1519  ●●●●○●●●●○●       10111101111  11110111101
safe        1520  ○○○○●●●●●○●       10111110000  00001111101
sail        1521  ●○○○●●●●●○●       10111110001  10001111101
salad       1522  ○●○○●●●●●○●       10111110010  01001111101
salmon      1523  ●●○○●●●●●○●       10111110011  11001111101
salon       1524  ○○●○●●●●●○●       10111110100  00101111101
salt        1525  ●○●○●●●●●○●       10111110101  10101111101
salute      1526  ○●●○●●●●●○●       10111110110  01101111101
same        1527  ●●●○●●●●●○●       10111110111  11101111101
sample      1528  ○○○●●●●●●○●       10111111000  00011111101
sand        1529  ●○○●●●●●●○●       10111111001  10011111101
satisfy     1530  ○●○●●●●●●○●       10111111010  01011111101
satoshi     1531  ●●○●●●●●●○●       10111111011  11011111101
sauce       1532  ○○●●●●●●●○●       10111111100  00111111101
sausage     1533  ●○●●●●●●●○●       10111111101  10111111101
save        1534  ○●●●●●●●●○●       10111111110  01111111101
say         1535  ●●●●●●●●●○●       10111111111  11111111101
scale       1536  ○○○○○○○○○●●       11000000000  00000000011
scan        1537  ●○○○○○○○○●●       11000000001  10000000011
scare       1538  ○●○○○○○○○●●       11000000010  01000000011
scatter     1539  ●●○○○○○○○●●       11000000011  11000000011
scene       1540  ○○●○○○○○○●●       11000000100  00100000011
scheme      1541  ●○●○○○○○○●●       11000000101  10100000011
school      1542  ○●●○○○○○○●●       11000000110  01100000011
science     1543  ●●●○○○○○○●●       11000000111  11100000011
scissors    1544  ○○○●○○○○○●●       11000001000  00010000011
scorpion    1545  ●○○●○○○○○●●       11000001001  10010000011
scout       1546  ○●○●○○○○○●●       11000001010  01010000011
scrap       1547  ●●○●○○○○○●●       11000001011  11010000011
screen      1548  ○○●●○○○○○●●       11000001100  00110000011
script      1549  ●○●●○○○○○●●       11000001101  10110000011
scrub       1550  ○●●●○○○○○●●       11000001110  01110000011
sea         1551  ●●●●○○○○○●●       11000001111  11110000011
search      1552  ○○○○●○○○○●●       11000010000  00001000011
season      1553  ●○○○●○○○○●●       11000010001  10001000011
seat        1554  ○●○○●○○○○●●       11000010010  01001000011
second      1555  ●●○○●○○○○●●       11000010011  11001000011
secret      1556  ○○●○●○○○○●●       11000010100  00101000011
section     1557  ●○●○●○○○○●●       11000010101  10101000011
security    1558  ○●●○●○○○○●●       11000010110  01101000011
seed        1559  ●●●○●○○○○●●       11000010111  11101000011
seek        1560  ○○○●●○○○○●●       11000011000  00011000011
segment     1561  ●○○●●○○○○●●       11000011001  10011000011
select      1562  ○●○●●○○○○●●       11000011010  01011000011
sell        1563  ●●○●●○○○○●●       11000011011  11011000011
seminar     1564  ○○●●●○○○○●●       11000011100  00111000011
senior      1565  ●○●●●○○○○●●       11000011101  10111000011
sense       1566  ○●●●●○○○○●●       11000011110  01111000011
sentence    1567  ●●●●●○○○○●●       11000011111  11111000011
series      1568  ○○○○○●○○○●●       11000100000  00000100011
service     1569  ●○○○○●○○○●●       11000100001  10000100011
session     1570  ○●○○○●○○○●●       11000100010  01000100011
settle      1571  ●●○○○●○○○●●       11000100011  11000100011
setup       1572  ○○●○○●○○○●●       11000100100  00100100011
seven       1573  ●○●○○●○○○●●       11000100101  10100100011
shadow      1574  ○●●○○●○○○●●       11000100110  01100100011
shaft       1575  ●●●○○●○○○●●       11000100111  11100100011
shallow     1576  ○○○●○●○○○●●       11000101000  00010100011
share       1577  ●○○●○●○○○●●       11000101001  10010100011
shed        1578  ○●○●○●○○○●●       11000101010  01010100011
shell       1579  ●●○●○●○○○●●       11000101011  11010100011
sheriff     1580  ○○●●○●○○○●●       11000101100  00110100011
shield      1581  ●○●●○●○○○●●       11000101101  10110100011
shift       1582  ○●●●○●○○○●●       11000101110  01110100011
shine       1583  ●●●●○●○○○●●       11000101111  11110100011
ship        1584  ○○○○●●○○○●●       11000110000  00001100011
shiver      1585  ●○○○●●○○○●●       11000110001  10001100011
shock       1586  ○●○○●●○○○●●       11000110010  01001100011
shoe        1587  ●●○○●●○○○●●       11000110011  11001100011
shoot       1588  ○○●○●●○○○●●       11000110100  00101100011
shop        1589  ●○●○●●○○○●●       11000110101  10101100011
short       1590  ○●●○●●○○○●●       11000110110  01101100011
shoulder    1591  ●●●○●●○○○●●       11000110111  11101100011
shove       1592  ○○○●●●○○○●●       11000111000  00011100011
shrimp      1593  ●○○●●●○○○●●       11000111001  10011100011
shrug       1594  ○●○●●●○○○●●       11000111010  01011100011
shuffle     1595  ●●○●●●○○○●●       11000111011  11011100011
shy         1596  ○○●●●●○○○●●       11000111100  00111100011
sibling     1597  ●○●●●●○○○●●       11000111101  10111100011
sick        1598  ○●●●●●○○○●●       11000111110  01111100011
side        1599  ●●●●●●○○○●●       11000111111  11111100011
siege       1600  ○○○○○○●○○●●       11001000000  00000010011
sight       1601  ●○○○○○●○○●●       11001000001  10000010011
sign        1602  ○●○○○○●○○●●       11001000010  01000010011
silent      1603  ●●○○○○●○○●●       11001000011  11000010011
silk        1604  ○○●○○○●○○●●       11001000100  00100010011
silly       1605  ●○●○○○●○○●●       11001000101  10100010011
silver      1606  ○●●○○○●○○●●       11001000110  01100010011
similar     1607  ●●●○○○●○○●●       11001000111  11100010011
simple      1608  ○○○●○○●○○●●       11001001000  00010010011
since       1609  ●○○●○○●○○●●       11001001001  10010010011
sing        1610  ○●○●○○●○○●●       11001001010  01010010011
siren       1611  ●●○●○○●○○●●       11001001011  11010010011
sister      1612  ○○●●○○●○○●●       11001001100  00110010011
situate     1613  ●○●●○○●○○●●       11001001101  10110010011
six         1614  ○●●●○○●○○●●       11001001110  01110010011
size        1615  ●●●●○○●○○●●       11001001111  11110010011
skate       1616  ○○○○●○●○○●●       11001010000  00001010011
sketch      1617  ●○○○●○●○○●●       11001010001  10001010011
ski         1618  ○●○○●○●○○●●       11001010010  01001010011
skill       1619  ●●○○●○●○○●●       11001010011  11001010011
skin        1620  ○○●○●○●○○●●       11001010100  00101010011
skirt       1621  ●○●○●○●○○●●       11001010101  10101010011
skull       1622  ○●●○●○●○○●●       11001010110  01101010011
slab        1623  ●●●○●○●○○●●       11001010111  11101010011
slam        1624  ○○○●●○●○○●●       11001011000  00011010011
sleep       1625  ●○○●●○●○○●●       11001011001  10011010011
slender     1626  ○●○●●○●○○●●       11001011010  01011010011
slice       1627  ●●○●●○●○○●●       11001011011  11011010011
slide       1628  ○○●●●○●○○●●       11001011100  00111010011
slight      1629  ●○●●●○●○○●●       11001011101  10111010011
slim        1630  ○●●●●○●○○●●       11001011110  01111010011
slogan      1631  ●●●●●○●○○●●       11001011111  11111010011
slot        1632  ○○○○○●●○○●●       11001100000  00000110011
slow        1633  ●○○○○●●○○●●       11001100001  10000110011
slush       1634  ○●○○○●●○○●●       11001100010  01000110011
small       1635  ●●○○○●●○○●●       11001100011  11000110011
smart       1636  ○○●○○●●○○●●       11001100100  00100110011
smile       1637  ●○●○○●●○○●●       11001100101  10100110011
smoke       1638  ○●●○○●●○○●●       11001100110  01100110011
smooth      1639  ●●●○○●●○○●●       11001100111  11100110011
snack       1640  ○○○●○●●○○●●       11001101000  00010110011
snake       1641  ●○○●○●●○○●●       11001101001  10010110011
snap        1642  ○●○●○●●○○●●       11001101010  01010110011
sniff       1643  ●●○●○●●○○●●       11001101011  11010110011
snow        1644  ○○●●○●●○○●●       11001101100  00110110011
soap        1645  ●○●●○●●○○●●       11001101101  10110110011
soccer      1646  ○●●●○●●○○●●       11001101110  01110110011
social      1647  ●●●●○●●○○●●       11001101111  11110110011
sock        1648  ○○○○●●●○○●●       11001110000  00001110011
soda        1649  ●○○○●●●○○●●       11001110001  10001110011
soft        1650  ○●○○●●●○○●●       11001110010  01001110011
solar       1651  ●●○○●●●○○●●       11001110011  11001110011
soldier     1652  ○○●○●●●○○●●       11001110100  00101110011
solid       1653  ●○●○●●●○○●●       11001110101  10101110011
solution    1654  ○●●○●●●○○●●       11001110110  01101110011
solve       1655  ●●●○●●●○○●●       11001110111  11101110011
someone     1656  ○○○●●●●○○●●       11001111000  00011110011
song        1657  ●○○●●●●○○●●       11001111001  10011110011
soon        1658  ○●○●●●●○○●●       11001111010  01011110011
sorry       1659  ●●○●●●●○○●●       11001111011  11011110011
sort        1660  ○○●●●●●○○●●       11001111100  00111110011
soul        1661  ●○●●●●●○○●●       11001111101  10111110011
sound       1662  ○●●●●●●○○●●       11001111110  01111110011
soup        1663  ●●●●●●●○○●●       11001111111  11111110011
source      1664  ○○○○○○○●○●●       11010000000  00000001011
south       1665  ●○○○○○○●○●●       11010000001  10000001011
space       1666  ○●○○○○○●○●●       11010000010  01000001011
spare       1667  ●●○○○○○●○●●       11010000011  11000001011
spatial     1668  ○○●○○○○●○●●       11010000100  00100001011
spawn       1669  ●○●○○○○●○●●       11010000101  10100001011
speak       1670  ○●●○○○○●○●●       11010000110  01100001011
special     1671  ●●●○○○○●○●●       11010000111  11100001011
speed       1672  ○○○●○○○●○●●       11010001000  00010001011
spell       1673  ●○○●○○○●○●●       11010001001  10010001011
spend       1674  ○●○●○○○●○●●       11010001010  01010001011
sphere      1675  ●●○●○○○●○●●       11010001011  11010001011
spice       1676  ○○●●○○○●○●●       11010001100  00110001011
spider      1677  ●○●●○○○●○●●       11010001101  10110001011
spike       1678  ○●●●○○○●○●●       11010001110  01110001011
spin        1679  ●●●●○○○●○●●       11010001111  11110001011
spirit      1680  ○○○○●○○●○●●       11010010000  00001001011
split       1681  ●○○○●○○●○●●       11010010001  10001001011
spoil       1682  ○●○○●○○●○●●       11010010010  01001001011
sponsor     1683  ●●○○●○○●○●●       11010010011  11001001011
spoon       1684  ○○●○●○○●○●●       11010010100  00101001011
sport       1685  ●○●○●○○●○●●       11010010101  10101001011
spot        1686  ○●●○●○○●○●●       11010010110  01101001011
spray       1687  ●●●○●○○●○●●       11010010111  11101001011
spread      1688  ○○○●●○○●○●●       11010011000  00011001011
spring      1689  ●○○●●○○●○●●       11010011001  10011001011
spy         1690  ○●○●●○○●○●●       11010011010  01011001011
square      1691  ●●○●●○○●○●●       11010011011  11011001011
squeeze     1692  ○○●●●○○●○●●       11010011100  00111001011
squirrel    1693  ●○●●●○○●○●●       11010011101  10111001011
stable      1694  ○●●●●○○●○●●       11010011110  01111001011
stadium     1695  ●●●●●○○●○●●       11010011111  11111001011
staff       1696  ○○○○○●○●○●●       11010100000  00000101011
stage       1697  ●○○○○●○●○●●       11010100001  10000101011
stairs      1698  ○●○○○●○●○●●       11010100010  01000101011
stamp       1699  ●●○○○●○●○●●       11010100011  11000101011
stand       1700  ○○●○○●○●○●●       11010100100  00100101011
start       1701  ●○●○○●○●○●●       11010100101  10100101011
state       1702  ○●●○○●○●○●●       11010100110  01100101011
stay        1703  ●●●○○●○●○●●       11010100111  11100101011
steak       1704  ○○○●○●○●○●●       11010101000  00010101011
steel       1705  ●○○●○●○●○●●       11010101001  10010101011
stem        1706  ○●○●○●○●○●●       11010101010  01010101011
step        1707  ●●○●○●○●○●●       11010101011  11010101011
stereo      1708  ○○●●○●○●○●●       11010101100  00110101011
stick       1709  ●○●●○●○●○●●       11010101101  10110101011
still       1710  ○●●●○●○●○●●       11010101110  01110101011
sting       1711  ●●●●○●○●○●●       11010101111  11110101011
stock       1712  ○○○○●●○●○●●       11010110000  00001101011
stomach     1713  ●○○○●●○●○●●       11010110001  10001101011
stone       1714  ○●○○●●○●○●●       11010110010  01001101011
stool       1715  ●●○○●●○●○●●       11010110011  11001101011
story       1716  ○○●○●●○●○●●       11010110100  00101101011
stove       1717  ●○●○●●○●○●●       11010110101  10101101011
strategy    1718  ○●●○●●○●○●●       11010110110  01101101011
street      1719  ●●●○●●○●○●●       11010110111  11101101011
strike      1720  ○○○●●●○●○●●       11010111000  00011101011
strong      1721  ●○○●●●○●○●●       11010111001  10011101011
struggle    1722  ○●○●●●○●○●●       11010111010  01011101011
student     1723  ●●○●●●○●○●●       11010111011  11011101011
stuff       1724  ○○●●●●○●○●●       11010111100  00111101011
stumble     1725  ●○●●●●○●○●●       11010111101  10111101011
style       1726  ○●●●●●○●○●●       11010111110  01111101011
subject     1727  ●●●●●●○●○●●       11010111111  11111101011
submit      1728  ○○○○○○●●○●●       11011000000  00000011011
subway      1729  ●○○○○○●●○●●       11011000001  10000011011
success     1730  ○●○○○○●●○●●       11011000010  01000011011
such        1731  ●●○○○○●●○●●       11011000011  11000011011
sudden      1732  ○○●○○○●●○●●       11011000100  00100011011
suffer      1733  ●○●○○○●●○●●       11011000101  10100011011
sugar       1734  ○●●○○○●●○●●       11011000110  01100011011
suggest     1735  ●●●○○○●●○●●       11011000111  11100011011
suit        1736  ○○○●○○●●○●●       11011001000  00010011011
summer      1737  ●○○●○○●●○●●       11011001001  10010011011
sun         1738  ○●○●○○●●○●●       11011001010  01010011011
sunny       1739  ●●○●○○●●○●●       11011001011  11010011011
sunset      1740  ○○●●○○●●○●●       11011001100  00110011011
super       1741  ●○●●○○●●○●●       11011001101  10110011011
supply      1742  ○●●●○○●●○●●       11011001110  01110011011
supreme     1743  ●●●●○○●●○●●       11011001111  11110011011
sure        1744  ○○○○●○●●○●●       11011010000  00001011011
surface     1745  ●○○○●○●●○●●       11011010001  10001011011
surge       1746  ○●○○●○●●○●●       11011010010  01001011011
surprise    1747  ●●○○●○●●○●●       11011010011  11001011011
surround    1748  ○○●○●○●●○●●       11011010100  00101011011
survey      1749  ●○●○●○●●○●●       11011010101  10101011011
suspect     1750  ○●●○●○●●○●●       11011010110  01101011011
sustain     1751  ●●●○●○●●○●●       11011010111  11101011011
swallow     1752  ○○○●●○●●○●●       11011011000  00011011011
swamp       1753  ●○○●●○●●○●●       11011011001  10011011011
swap        1754  ○●○●●○●●○●●       11011011010  01011011011
swarm       1755  ●●○●●○●●○●●       11011011011  11011011011
swear       1756  ○○●●●○●●○●●       11011011100  00111011011
sweet       1757  ●○●●●○●●○●●       11011011101  10111011011
swift       1758  ○●●●●○●●○●●       11011011110  01111011011
swim        1759  ●●●●●○●●○●●       11011011111  11111011011
swing       1760  ○○○○○●●●○●●       11011100000  00000111011
switch      1761  ●○○○○●●●○●●       11011100001  10000111011
sword       1762  ○●○○○●●●○●●       11011100010  01000111011
symbol      1763  ●●○○○●●●○●●       11011100011  11000111011
symptom     1764  ○○●○○●●●○●●       11011100100  00100111011
syrup       1765  ●○●○○●●●○●●       11011100101  10100111011
system      1766  ○●●○○●●●○●●       11011100110  01100111011
table       1767  ●●●○○●●●○●●       11011100111  11100111011
tackle      1768  ○○○●○●●●○●●       11011101000  00010111011
tag         1769  ●○○●○●●●○●●       11011101001  10010111011
tail        1770  ○●○●○●●●○●●       11011101010  01010111011
talent      1771  ●●○●○●●●○●●       11011101011  11010111011
talk        1772  ○○●●○●●●○●●       11011101100  00110111011
tank        1773  ●○●●○●●●○●●       11011101101  10110111011
tape        1774  ○●●●○●●●○●●       11011101110  01110111011
target      1775  ●●●●○●●●○●●       11011101111  11110111011
task        1776  ○○○○●●●●○●●       11011110000  00001111011
taste       1777  ●○○○●●●●○●●       11011110001  10001111011
tattoo      1778  ○●○○●●●●○●●       11011110010  01001111011
taxi        1779  ●●○○●●●●○●●       11011110011  11001111011
teach       1780  ○○●○●●●●○●●       11011110100  00101111011
team        1781  ●○●○●●●●○●●       11011110101  10101111011
tell        1782  ○●●○●●●●○●●       11011110110  01101111011
ten         1783  ●●●○●●●●○●●       11011110111  11101111011
tenant      1784  ○○○●●●●●○●●       11011111000  00011111011
tennis      1785  ●○○●●●●●○●●       11011111001  10011111011
tent        1786  ○●○●●●●●○●●       11011111010  01011111011
term        1787  ●●○●●●●●○●●       11011111011  11011111011
test        1788  ○○●●●●●●○●●       11011111100  00111111011
text        1789  ●○●●●●●●○●●       11011111101  10111111011
thank       1790  ○●●●●●●●○●●       11011111110  01111111011
that        1791  ●●●●●●●●○●●       11011111111  11111111011
theme       1792  ○○○○○○○○●●●       11100000000  00000000111
then        1793  ●○○○○○○○●●●       11100000001  10000000111
theory      1794  ○●○○○○○○●●●       11100000010  01000000111
there       1795  ●●○○○○○○●●●       11100000011  11000000111
they        1796  ○○●○○○○○●●●       11100000100  00100000111
thing       1797  ●○●○○○○○●●●       11100000101  10100000111
this        1798  ○●●○○○○○●●●       11100000110  01100000111
thought     1799  ●●●○○○○○●●●       11100000111  11100000111
three       1800  ○○○●○○○○●●●       11100001000  00010000111
thrive      1801  ●○○●○○○○●●●       11100001001  10010000111
throw       1802  ○●○●○○○○●●●       11100001010  01010000111
thumb       1803  ●●○●○○○○●●●       11100001011  11010000111
thunder     1804  ○○●●○○○○●●●       11100001100  00110000111
ticket      1805  ●○●●○○○○●●●       11100001101  10110000111
tide        1806  ○●●●○○○○●●●       11100001110  01110000111
tiger       1807  ●●●●○○○○●●●       11100001111  11110000111
tilt        1808  ○○○○●○○○●●●       11100010000  00001000111
timber      1809  ●○○○●○○○●●●       11100010001  10001000111
time        1810  ○●○○●○○○●●●       11100010010  01001000111
tiny        1811  ●●○○●○○○●●●       11100010011  11001000111
tip         1812  ○○●○●○○○●●●       11100010100  00101000111
tired       1813  ●○●○●○○○●●●       11100010101  10101000111
tissue      1814  ○●●○●○○○●●●       11100010110  01101000111
title       1815  ●●●○●○○○●●●       11100010111  11101000111
toast       1816  ○○○●●○○○●●●       11100011000  00011000111
tobacco     1817  ●○○●●○○○●●●       11100011001  10011000111
today       1818  ○●○●●○○○●●●       11100011010  01011000111
toddler     1819  ●●○●●○○○●●●       11100011011  11011000111
toe         1820  ○○●●●○○○●●●       11100011100  00111000111
together    1821  ●○●●●○○○●●●       11100011101  10111000111
toilet      1822  ○●●●●○○○●●●       11100011110  01111000111
token       1823  ●●●●●○○○●●●       11100011111  11111000111
tomato      1824  ○○○○○●○○●●●       11100100000  00000100111
tomorrow    1825  ●○○○○●○○●●●       11100100001  10000100111
tone        1826  ○●○○○●○○●●●       11100100010  01000100111
tongue      1827  ●●○○○●○○●●●       11100100011  11000100111
tonight     1828  ○○●○○●○○●●●       11100100100  00100100111
tool        1829  ●○●○○●○○●●●       11100100101  10100100111
tooth       1830  ○●●○○●○○●●●       11100100110  01100100111
top         1831  ●●●○○●○○●●●       11100100111  11100100111
topic       1832  ○○○●○●○○●●●       11100101000  00010100111
topple      1833  ●○○●○●○○●●●       11100101001  10010100111
torch       1834  ○●○●○●○○●●●       11100101010  01010100111
tornado     1835  ●●○●○●○○●●●       11100101011  11010100111
tortoise    1836  ○○●●○●○○●●●       11100101100  00110100111
toss        1837  ●○●●○●○○●●●       11100101101  10110100111
total       1838  ○●●●○●○○●●●       11100101110  01110100111
tourist     1839  ●●●●○●○○●●●       11100101111  11110100111
toward      1840  ○○○○●●○○●●●       11100110000  00001100111
tower       1841  ●○○○●●○○●●●       11100110001  10001100111
town        1842  ○●○○●●○○●●●       11100110010  01001100111
toy         1843  ●●○○●●○○●●●       11100110011  11001100111
track       1844  ○○●○●●○○●●●       11100110100  00101100111
trade       1845  ●○●○●●○○●●●       11100110101  10101100111
traffic     1846  ○●●○●●○○●●●       11100110110  01101100111
tragic      1847  ●●●○●●○○●●●       11100110111  11101100111
train       1848  ○○○●●●○○●●●       11100111000  00011100111
transfer    1849  ●○○●●●○○●●●       11100111001  10011100111
trap        1850  ○●○●●●○○●●●       11100111010  01011100111
trash       1851  ●●○●●●○○●●●       11100111011  11011100111
travel      1852  ○○●●●●○○●●●       11100111100  00111100111
tray        1853  ●○●●●●○○●●●       11100111101  10111100111
treat       1854  ○●●●●●○○●●●       11100111110  01111100111
tree        1855  ●●●●●●○○●●●       11100111111  11111100111
trend       1856  ○○○○○○●○●●●       11101000000  00000010111
trial       1857  ●○○○○○●○●●●       11101000001  10000010111
tribe       1858  ○●○○○○●○●●●       11101000010  01000010111
trick       1859  ●●○○○○●○●●●       11101000011  11000010111
trigger     1860  ○○●○○○●○●●●       11101000100  00100010111
trim        1861  ●○●○○○●○●●●       11101000101  10100010111
trip        1862  ○●●○○○●○●●●       11101000110  01100010111
trophy      1863  ●●●○○○●○●●●       11101000111  11100010111
trouble     1864  ○○○●○○●○●●●       11101001000  00010010111
truck       1865  ●○○●○○●○●●●       11101001001  10010010111
true        1866  ○●○●○○●○●●●       11101001010  01010010111
truly       1867  ●●○●○○●○●●●       11101001011  11010010111
trumpet     1868  ○○●●○○●○●●●       11101001100  00110010111
trust       1869  ●○●●○○●○●●●       11101001101  10110010111
truth       1870  ○●●●○○●○●●●       11101001110  01110010111
try         1871  ●●●●○○●○●●●       11101001111  11110010111
tube        1872  ○○○○●○●○●●●       11101010000  00001010111
tuition     1873  ●○○○●○●○●●●       11101010001  10001010111
tumble      1874  ○●○○●○●○●●●       11101010010  01001010111
tuna        1875  ●●○○●○●○●●●       11101010011  11001010111
tunnel      1876  ○○●○●○●○●●●       11101010100  00101010111
turkey      1877  ●○●○●○●○●●●       11101010101  10101010111
turn        1878  ○●●○●○●○●●●       11101010110  01101010111
turtle      1879  ●●●○●○●○●●●       11101010111  11101010111
twelve      1880  ○○○●●○●○●●●       11101011000  00011010111
twenty      1881  ●○○●●○●○●●●       11101011001  10011010111
twice       1882  ○●○●●○●○●●●       11101011010  01011010111
twin        1883  ●●○●●○●○●●●       11101011011  11011010111
twist       1884  ○○●●●○●○●●●       11101011100  00111010111
two         1885  ●○●●●○●○●●●       11101011101  10111010111
type        1886  ○●●●●○●○●●●       11101011110  01111010111
typical     1887  ●●●●●○●○●●●       11101011111  11111010111
ugly        1888  ○○○○○●●○●●●       11101100000  00000110111
umbrella    1889  ●○○○○●●○●●●       11101100001  10000110111
unable      1890  ○●○○○●●○●●●       11101100010  01000110111
unaware     1891  ●●○○○●●○●●●       11101100011  11000110111
uncle       1892  ○○●○○●●○●●●       11101100100  00100110111
uncover     1893  ●○●○○●●○●●●       11101100101  10100110111
under       1894  ○●●○○●●○●●●       11101100110  01100110111
undo        1895  ●●●○○●●○●●●       11101100111  11100110111
unfair      1896  ○○○●○●●○●●●       11101101000  00010110111
unfold      1897  ●○○●○●●○●●●       11101101001  10010110111
unhappy     1898  ○●○●○●●○●●●       11101101010  01010110111
uniform     1899  ●●○●○●●○●●●       11101101011  11010110111
unique      1900  ○○●●○●●○●●●       11101101100  00110110111
unit        1901  ●○●●○●●○●●●       11101101101  10110110111
universe    1902  ○●●●○●●○●●●       11101101110  01110110111
unknown     1903  ●●●●○●●○●●●       11101101111  11110110111
unlock      1904  ○○○○●●●○●●●       11101110000  00001110111
until       1905  ●○○○●●●○●●●       11101110001  10001110111
unusual     1906  ○●○○●●●○●●●       11101110010  01001110111
unveil      1907  ●●○○●●●○●●●       11101110011  11001110111
update      1908  ○○●○●●●○●●●       11101110100  00101110111
upgrade     1909  ●○●○●●●○●●●       11101110101  10101110111
uphold      1910  ○●●○●●●○●●●       11101110110  01101110111
upon        1911  ●●●○●●●○●●●       11101110111  11101110111
upper       1912  ○○○●●●●○●●●       11101111000  00011110111
upset       1913  ●○○●●●●○●●●       11101111001  10011110111
urban       1914  ○●○●●●●○●●●       11101111010  01011110111
urge        1915  ●●○●●●●○●●●       11101111011  11011110111
usage       1916  ○○●●●●●○●●●       11101111100  00111110111
use         1917  ●○●●●●●○●●●       11101111101  10111110111
used        1918  ○●●●●●●○●●●       11101111110  01111110111
useful      1919  ●●●●●●●○●●●       11101111111  11111110111
useless     1920  ○○○○○○○●●●●       11110000000  00000001111
usual       1921  ●○○○○○○●●●●       11110000001  10000001111
utility     1922  ○●○○○○○●●●●       11110000010  01000001111
vacant      1923  ●●○○○○○●●●●       11110000011  11000001111
vacuum      1924  ○○●○○○○●●●●       11110000100  00100001111
vague       1925  ●○●○○○○●●●●       11110000101  10100001111
valid       1926  ○●●○○○○●●●●       11110000110  01100001111
valley      1927  ●●●○○○○●●●●       11110000111  11100001111
valve       1928  ○○○●○○○●●●●       11110001000  00010001111
van         1929  ●○○●○○○●●●●       11110001001  10010001111
vanish      1930  ○●○●○○○●●●●       11110001010  01010001111
vapor       1931  ●●○●○○○●●●●       11110001011  11010001111
various     1932  ○○●●○○○●●●●       11110001100  00110001111
vast        1933  ●○●●○○○●●●●       11110001101  10110001111
vault       1934  ○●●●○○○●●●●       11110001110  01110001111
vehicle     1935  ●●●●○○○●●●●       11110001111  11110001111
velvet      1936  ○○○○●○○●●●●       11110010000  00001001111
vendor      1937  ●○○○●○○●●●●       11110010001  10001001111
venture     1938  ○●○○●○○●●●●       11110010010  01001001111
venue       1939  ●●○○●○○●●●●       11110010011  11001001111
verb        1940  ○○●○●○○●●●●       11110010100  00101001111
verify      1941  ●○●○●○○●●●●       11110010101  10101001111
version     1942  ○●●○●○○●●●●       11110010110  01101001111
very        1943  ●●●○●○○●●●●       11110010111  11101001111
vessel      1944  ○○○●●○○●●●●       11110011000  00011001111
veteran     1945  ●○○●●○○●●●●       11110011001  10011001111
